question,answer
Как установить LangServe и для чего он используется?,"LangServe помогает разработчикам развертывать исполняемые файлы и цепочки LangChain в виде REST API. Он автоматически устанавливается с помощью LangChain CLI, или же его можно установить отдельно с помощью команды 'pip install ""langserve[all]""' для клиентских и серверных зависимостей."
Как установить LangChain CLI и в чем его предназначение?,LangChain CLI полезен для работы с шаблонами LangChain и другими проектами LangServe. Установить его можно с помощью команды 'pip install langchain-cli'.
Что такое LangSmith SDK и как его установить?,"LangSmith SDK автоматически устанавливается с LangChain. Если LangChain не используется, его можно установить отдельно с помощью команды 'pip install langsmith'."
Какие интеграции предлагает LangChain и как они способствуют созданию приложений?,"LangChain предлагает обширную экосистему интеграций с различными внешними ресурсами, такими как локальные и удаленные файловые системы, API и базы данных. Эти интеграции позволяют разработчикам создавать гибкие приложения, сочетающие возможности языковых моделей (LLM) с доступом, взаимодействием и манипулированием внешними ресурсами."
Какие лучшие практики безопасности следует учитывать при работе с LangChain?,"При работе с LangChain необходимо следовать лучшим практикам безопасности: ограничивать разрешения в соответствии с потребностями приложения, предвидеть потенциальное неправильное использование, применять многоуровневую защиту, используя, например, только чтение и методы изоляции, такие как использование контейнеров, для обеспечения безопасности доступа LLM к данным."
Какие риски существуют при недостаточной защите приложений LangChain и как их предотвратить?,"Риски при недостаточной защите включают потерю или повреждение данных, несанкционированный доступ к конфиденциальной информации, ухудшение производительности или доступности критических ресурсов. Чтобы предотвратить эти риски, можно ограничить доступ агентов к определенным директориям, использовать только для чтения API-ключи и ограничить доступ к базам данных только на чтение."
Как сообщить о проблеме безопасности в LangChain?,Проблемы безопасности в LangChain можно сообщать по электронной почте на адрес security@langchain.dev. Это обеспечит своевременное рассмотрение и необходимые действия.
Какие решения предлагает LangChain для корпоративных клиентов с особыми требованиями безопасности?,LangChain может предложить корпоративные решения для клиентов с дополнительными требованиями безопасности. Для обсуждения таких решений следует обратиться по адресу sales@langchain.dev.
Каковы основные методы и их назначение в протоколе 'Runnable' LangChain?,"Протокол 'Runnable' в LangChain включает основные методы: 'stream' для потоковой передачи частей ответа, 'invoke' для вызова цепочки на входных данных и 'batch' для вызова цепочки на списке входных данных. Существуют также асинхронные версии этих методов, такие как 'astream', 'ainvoke' и 'abatch'. Эти методы позволяют легко определять и вызывать пользовательские цепочки."
Как работает метод 'stream' в LangChain и каков его пример использования?,"Метод 'stream' в LangChain используется для потоковой передачи ответов модели в реальном времени. Например, использование 'chain.stream({""topic"": ""bears""})' позволит получать части ответа по мере их появления, что может быть полезно для отображения прогресса пользователю или для работы с промежуточными результатами."
Как используется метод 'invoke' в LangChain и приведите пример кода?,"Метод 'invoke' в LangChain используется для вызова цепочки на одном входном значении. Например, 'chain.invoke({""topic"": ""bears""})' вызовет цепочку для обработки темы 'bears', возвращая результат в виде строки или структурированного ответа."
Что делает метод 'batch' в LangChain и как его использовать?,"Метод 'batch' в LangChain позволяет обрабатывать несколько запросов одновременно. Например, использование 'chain.batch([{""topic"": ""bears""}, {""topic"": ""cats""}])' позволяет обрабатывать запросы на темы 'bears' и 'cats' параллельно, возвращая массив результатов."
Как настроить сервер и клиента для работы с LangServe?,"Для развертывания приложения LangChain как REST API можно использовать LangServe. Например, для создания сервера нужно определить цепочку, FastAPI приложение и маршрут:
```python
from fastapi import FastAPI
from langchain.prompts import ChatPromptTemplate
from langchain.chat_models import ChatOpenAI
from langchain.schema import BaseOutputParser
from langserve import add_routes

# Определение цепочки, приложения и маршрута
# ... код для CommaSeparatedListOutputParser и chat_prompt ...

app = FastAPI()
add_routes(app, category_chain, path=""/category_chain"")

if __name__ == ""__main__"":
    import uvicorn
    uvicorn.run(app, host=""localhost"", port=8000)
```
Также можно настроить клиента для программного взаимодействия с сервисом с помощью `langserve.RemoteRunnable`.
```python
from langserve import RemoteRunnable

remote_chain = RemoteRunnable(""http://localhost:8000/category_chain/"")
remote_chain.invoke({""text"": ""colors""})
```"
Как импортировать и использовать LLM и ChatModel в LangChain?,Для работы с разными типами моделей в LangChain нужно импортировать `OpenAI` и `ChatOpenAI` из `langchain.llms` и `langchain.chat_models` соответственно. Пример кода: from langchain.llms import OpenAI; from langchain.chat_models import ChatOpenAI; llm = OpenAI(); chat_model = ChatOpenAI().
Как создается и используется шаблон запроса (Prompt Template) в LangChain?,"В LangChain шаблоны запросов используются для формирования полноценных запросов к языковым моделям. Пример кода: from langchain.prompts import PromptTemplate; prompt = PromptTemplate.from_template(""What is a good name for a company that makes {product}?""); prompt.format(product=""colorful socks"")."
Что делают парсеры вывода (Output Parsers) в LangChain и как их создать?,"Парсеры вывода в LangChain преобразуют сырой ответ языковой модели в формат, который можно использовать далее. Пример кода для создания парсера: from langchain.schema import BaseOutputParser; class CommaSeparatedListOutputParser(BaseOutputParser): def parse(self, text: str): return text.strip().split("", "")."
Как сочетаются компоненты в LangChain с использованием LCEL?,"В LangChain можно комбинировать компоненты, используя LangChain Expression Language (LCEL). Пример кода: from langchain.chat_models import ChatOpenAI; from langchain.prompts import ChatPromptTemplate; from langchain.schema import BaseOutputParser; chain = chat_prompt | ChatOpenAI() | CommaSeparatedListOutputParser(); chain.invoke({""text"": ""colors""})."
Что такое протокол 'Runnable' в LangChain и где он реализован?,"Протокол 'Runnable' в LangChain - это стандартный интерфейс, реализованный для большинства компонентов. Он облегчает создание пользовательских цепочек и их вызов стандартным способом."
Какие методы включает стандартный интерфейс 'Runnable' в LangChain?,"Стандартный интерфейс 'Runnable' в LangChain включает методы: 'stream' для возврата частей ответа, 'invoke' для вызова цепочки на входных данных и 'batch' для вызова цепочки на списке входных данных."
Какие асинхронные методы поддерживает протокол 'Runnable' в LangChain?,"Протокол 'Runnable' в LangChain поддерживает асинхронные методы: 'astream' для асинхронного возврата частей ответа, 'ainvoke' для асинхронного вызова цепочки на входных данных и 'abatch' для асинхронного вызова цепочки на списке входных данных."
Какие типы входных и выходных данных поддерживаются различными компонентами протокола 'Runnable' в LangChain?,"Типы входных и выходных данных варьируются в зависимости от компонента в LangChain. Например, компонент 'Prompt' принимает словарь и возвращает 'PromptValue', а 'ChatModel' принимает одну строку или список сообщений чата и возвращает 'ChatMessage'."
Что такое схемы ввода и вывода в контексте 'Runnable' в LangChain и как они генерируются?,"Схемы ввода и вывода в 'Runnable' в LangChain - это Pydantic модели, автоматически генерируемые из структуры 'Runnable'. Они предоставляют представление JSONSchema для инспекции входных и выходных данных компонентов."
Какие шаги необходимо выполнить для создания и использования простой цепочки 'PromptTemplate + ChatModel' в LangChain?,"Для создания и использования цепочки 'PromptTemplate + ChatModel' в LangChain, необходимо импортировать 'ChatOpenAI' и 'ChatPromptTemplate', создать экземпляр модели и шаблона приглашения, а затем объединить их в цепочку."
Как создать и использовать цепочку 'PromptTemplate + ChatModel' в LangChain?,"Чтобы создать и использовать цепочку 'PromptTemplate + ChatModel' в LangChain, выполните следующие шаги:
1. Импортируйте необходимые модули:
```python
from langchain.chat_models import ChatOpenAI
from langchain.prompts import ChatPromptTemplate
```
2. Создайте экземпляры модели и шаблона приглашения:
```python
model = ChatOpenAI()
prompt = ChatPromptTemplate.from_template(""tell me a joke about {topic}"")
```
3. Объедините их в цепочку:
```python
chain = prompt | model
```"
Как использовать метод 'stream' для потоковой передачи частей ответа в цепочке LangChain?,"Чтобы использовать метод 'stream' для потоковой передачи частей ответа, используйте следующий код:
```python
for s in chain.stream({""topic"": ""bears""}):
    print(s.content, end="""", flush=True)
```
Этот код выводит части ответа по мере их получения из цепочки, обрабатывающей запрос на тему 'bears'."
Как работает метод 'invoke' для вызова цепочки на входных данных в LangChain?,"Метод 'invoke' вызывает цепочку на входных данных. Пример использования:
```python
chain.invoke({""topic"": ""bears""})
```
Этот код вызовет цепочку для обработки запроса на тему 'bears' и вернет результат."
Как использовать метод 'batch' для вызова цепочки на списке входных данных в LangChain?,"Чтобы использовать метод 'batch' для вызова цепочки на списке входных данных, используйте следующий код:
```python
chain.batch([{""topic"": ""bears""}, {""topic"": ""cats""}])
```
Этот код вызовет цепочку для каждого элемента в списке (в данном случае для тем 'bears' и 'cats') и вернет список результатов."
Как можно асинхронно использовать метод 'astream' в цепочке LangChain?,"Для асинхронного использования метода 'astream' в цепочке LangChain, примените следующий код:
```python
async for s in chain.astream({""topic"": ""bears""}):
    print(s.content, end="""", flush=True)
```
Этот асинхронный код будет выводить части ответа по мере их получения для запроса на тему 'bears'."
Что такое привязка аргументов во время выполнения в LangChain?,"Иногда нам нужно вызвать Runnable в последовательности Runnable с постоянными аргументами, которые не являются частью вывода предыдущего Runnable в последовательности и которые не являются частью пользовательского ввода. Мы можем использовать `Runnable.bind()`, чтобы легко передать эти аргументы."
Как создать простую последовательность подсказки и модели в LangChain?,"Допустим, у нас есть простая последовательность подсказки + модели:

            from langchain.chat_models import ChatOpenAI
            from langchain.prompts import ChatPromptTemplate
            from langchain.schema import StrOutputParser
            from langchain.schema.runnable import RunnablePassthrough

            prompt = ChatPromptTemplate.from_messages(
                [
                    (
                        ""system"",
                        ""Write out the following equation using algebraic symbols then solve it. Use the format

EQUATION:...
SOLUTION:...

"",
                    ),
                    (""human"", ""{equation_statement}""),
                ]
            )
            model = ChatOpenAI(temperature=0)
            runnable = (
                {""equation_statement"": RunnablePassthrough()} | prompt | model | StrOutputParser()
            )

            print(runnable.invoke(""x raised to the third plus seven equals 12""))"
Как вызвать модель с определенными 'стоп' словами в LangChain?,"и хотим вызвать модель с определенными 'стоп' словами:

            runnable = (
                {""equation_statement"": RunnablePassthrough()}
                | prompt
                | model.bind(stop=""SOLUTION"")
                | StrOutputParser()
            )
            print(runnable.invoke(""x raised to the third plus seven equals 12""))"
Каково полезное применение привязки в LangChain?,"Одно из полезных применений привязки - это прикрепление функций OpenAI к совместимой модели OpenAI:

            function = {
                ""name"": ""solver"",
                ""description"": ""Formulates and solves an equation"",
                ""parameters"": {
                    ""type"": ""object"",
                    ""properties"": {
                        ""equation"": {
                            ""type"": ""string"",
                            ""description"": ""The algebraic expression of the equation"",
                        },
                        ""solution"": {
                            ""type"": ""string"",
                            ""description"": ""The solution to the equation"",
                        },
                    },
                    ""required"": [""equation"", ""solution""],
                },
            }

            # Need gpt-4 to solve this one correctly
            prompt = ChatPromptTemplate.from_messages(
                [
                    (
                        ""system"",
                        ""Write out the following equation using algebraic symbols then solve it."",
                    ),
                    (""human"", ""{equation_statement}""),
                ]
            )
            model = ChatOpenAI(model=""gpt-4"", temperature=0).bind(
                function_call={""name"": ""solver""}, functions=[function]
            )
            runnable = {""equation_statement"": RunnablePassthrough()} | prompt | model
            runnable.invoke(""x raised to the third plus seven equals 12"")"
Какие методы определены для настройки внутренних компонентов цепочки в LangChain?,"
            Часто вы можете захотеть экспериментировать или даже предоставить конечному пользователю несколько различных способов выполнения задач. Для упрощения этого процесса мы определили два метода. 
            Первый - метод `configurable_fields`, который позволяет настраивать определенные поля runnable. 
            Второй - метод `configurable_alternatives`, с помощью которого можно перечислить альтернативы для любого конкретного runnable, которые могут быть установлены во время выполнения.
        "
Как настроить поля конфигурации с LLM в LangChain?,"С LLM мы можем настраивать такие вещи, как температура:

            from langchain.chat_models import ChatOpenAI
            from langchain.prompts import PromptTemplate

            model = ChatOpenAI(temperature=0).configurable_fields(
                temperature=ConfigurableField(
                    id=""llm_temperature"",
                    name=""LLM Temperature"",
                    description=""The temperature of the LLM"",
                )
            )

            model.invoke(""pick a random number"")
                AIMessage(content='7')

            model.with_config(configurable={""llm_temperature"": 0.9}).invoke(""pick a random number"")
                AIMessage(content='34')"
Как использовать `configurable_alternatives` с LLM в LangChain?,"Давайте рассмотрим это с LLM:

            from langchain.chat_models import ChatAnthropic, ChatOpenAI
            from langchain.prompts import PromptTemplate
            from langchain.schema.runnable import ConfigurableField

            llm = ChatAnthropic(temperature=0).configurable_alternatives(
                ConfigurableField(id=""llm""),
                default_key=""anthropic"",
                openai=ChatOpenAI(),
                gpt4=ChatOpenAI(model=""gpt-4""),
            )
            prompt = PromptTemplate.from_template(""Tell me a joke about {topic}"")
            chain = prompt | llm

            chain.invoke({""topic"": ""bears""})
                AIMessage(content=""Here's a silly joke about bears: ..."")

            chain.with_config(configurable={""llm"": ""openai""}).invoke({""topic"": ""bears""})
                AIMessage(content=""Sure, here's a bear joke for you: ..."")"
Как сохранить настроенные цепочки как собственные объекты в LangChain?,"
            Мы также можем легко сохранять настроенные цепочки как собственные объекты:

            openai_poem = chain.with_config(configurable={""llm"": ""openai""})

            openai_poem.invoke({""topic"": ""bears""})
                AIMessage(content=""Why don't bears wear shoes? ..."")
        "
Какова цель использования запасных вариантов в приложениях LLM в LangChain?,"
            В приложениях LLM существует множество возможных точек сбоя, будь то проблемы с API LLM, плохие результаты модели, проблемы с другими интеграциями и т.д. Запасные варианты помогают элегантно обрабатывать и изолировать эти проблемы.
            Важно, что запасные варианты могут применяться не только на уровне LLM, но и на уровне всего runnable.
        "
Как обрабатывать ошибки API LLM в LangChain?,"Это, возможно, самый распространенный случай использования запасных вариантов. Запрос к API LLM может завершиться неудачей по разным причинам - API может быть недоступен, вы можете достичь ограничения по скорости, и так далее.

            from langchain.chat_models import ChatOpenAI
            from langchain.prompts import PromptTemplate
            from langchain.schema.runnable import Fallback, RunnableException

            prompt = PromptTemplate.from_template(""What is the capital of {country}?"")
            model = ChatOpenAI(temperature=0)

            chain = prompt | Fallback(model, lambda _: ""Sorry, I'm having trouble accessing my resources right now."")

            chain.invoke({""country"": ""France""})
                AIMessage(content='The capital of France is Paris.')

            model.with_exception(RunnableException()).invoke({""country"": ""France""})
                AIMessage(content='Sorry, I'm having trouble accessing my resources right now.')"
Как указать ошибки для обработки при использовании запасных вариантов в LangChain?,"
            Мы также можем указать ошибки для обработки, если хотим быть более конкретными в отношении того, когда должен вызываться запасной вариант:

            from langchain.schema.runnable import FallbackError

            chain = prompt | Fallback(model, lambda _: ""Sorry, I can't help with that right now."", error_types=[FallbackError])
        "
Как создать запасные варианты для последовательностей в LangChain?,"Мы также можем создавать запасные варианты для последовательностей, которые сами по себе являются последовательностями. 

            from langchain.schema.runnable import RunnableSequence

            chain2 = prompt | model2
            chain_fallback = RunnableSequence([chain, chain2], use_fallback=True)

            chain_fallback.invoke({""country"": ""France""})
                AIMessage(content='The capital of France is Paris.')"
Как использовать произвольные функции в конвейере LangChain?,"```python
from operator import itemgetter   

from langchain.chat_models import ChatOpenAI   
from langchain.prompts import ChatPromptTemplate   
from langchain.schema.runnable import RunnableLambda   

def length_function(text):  
    return len(text)  

def _multiple_length_function(text1, text2):  
    return len(text1) * len(text2)  

def multiple_length_function(_dict):  
    return _multiple_length_function(_dict[""text1""], _dict[""text2""])  

prompt = ChatPromptTemplate.from_template(""what is {a} + {b}"")  
model = ChatOpenAI()  

chain1 = prompt | model   

chain = (  
    {  
        ""a"": itemgetter(""foo"") | RunnableLambda(length_function),  
        ""b"": {""text1"": itemgetter(""foo""), ""text2"": itemgetter(""bar"")}  
        | RunnableLambda(multiple_length_function),  
    }  
    | prompt  
    | model  
)  

chain.invoke({""foo"": ""bar"", ""bar"": ""gah""})  

    AIMessage(content='3 + 9 equals 12.', additional_kwargs={}, example=False)
```"
"Как использовать RunnableConfig с RunnableLambda для передачи обратных вызовов, тегов и другой конфигурационной информации в LangChain?","```python
from langchain.schema.output_parser import StrOutputParser   
from langchain.schema.runnable import RunnableConfig   

import json   

def parse_or_fix(text: str, config: RunnableConfig):  
    fixing_chain = (  
        ChatPromptTemplate.from_template(  
            ""Fix the following text:

```text
{input}
```
Error: {error}""  
            "" Don't narrate, just respond with the fixed data.""  
        )  
        | ChatOpenAI()  
        | StrOutputParser()  
    )  
    for _ in range(3):  
        try:  
            return json.loads(text)  
        except Exception as e:  
            text = fixing_chain.invoke({""input"": text, ""error"": e}, config)  
    return ""Failed to parse""  

from langchain.callbacks import get_openai_callback   

with get_openai_callback() as cb:  
    RunnableLambda(parse_or_fix).invoke(  
        ""{foo: bar}"", {""tags"": [""my-tag""], ""callbacks"": [cb]}  
    )  
    print(cb)  

    Tokens Used: 65  
        Prompt Tokens: 56  
        Completion Tokens: 9  
    Successful Requests: 1  
    Total Cost (USD): $0.00010200000000000001
```"
Какие функции можно использовать в LCEL-пайплайне?,"Вы можете использовать функции-генераторы (т.е. функции, которые используют ключевое слово `yield` и ведут себя как итераторы) в LCEL-пайплайне."
Какова сигнатура этих генераторов?,Сигнатура этих генераторов должна быть `Iterator[Input] -> Iterator[Output]`. Или для асинхронных генераторов: `AsyncIterator[Input] -> AsyncIterator[Output]`.
"Как реализовать настраиваемый парсер вывода для списков, разделенных запятыми?","from typing import Iterator, List   

from langchain.chat_models import ChatOpenAI   
from langchain.prompts.chat import ChatPromptTemplate   
from langchain.schema.output_parser import StrOutputParser   

prompt = ChatPromptTemplate.from_template(  
    ""Write a comma-separated list of 5 animals similar to: {animal}""  
)  
model = ChatOpenAI(temperature=0.0)  

str_chain = prompt | model | StrOutputParser()  

for chunk in str_chain.stream({""animal"": ""bear""}):  
    print(chunk, end="""", flush=True)  

    lion, tiger, wolf, gorilla, panda   

str_chain.invoke({""animal"": ""bear""})  

    'lion, tiger, wolf, gorilla, panda'"
"Как работает настраиваемый парсер, который разделяет итератор токенов llm на список строк, разделенных запятыми?","# This is a custom parser that splits an iterator of llm tokens  
# into a list of strings separated by commas   
def split_into_list(input: Iterator[str]) -> Iterator[List[str]]:  
    # hold partial input until we get a comma  
    buffer = """"  
    for chunk in input:  
        # add current chunk to buffer  
        buffer += chunk  
        # while there are commas in the buffer  
        while "","" in buffer:  
            # split buffer on comma  
            comma_index = buffer.index("","")  
            # yield everything before the comma  
            yield [buffer[:comma_index].strip()]  
            # save the rest for the next iteration  
            buffer = buffer[comma_index + 1 :]  
    # yield the last chunk  
    yield [buffer.strip()]  

list_chain = str_chain | split_into_list   

for chunk in list_chain.stream({""animal"": ""bear""}):  
    print(chunk, flush=True)  

    ['lion']  
    ['tiger']  
    ['wolf']  
    ['gorilla']  
    ['panda']  

list_chain.invoke({""animal"": ""bear""})  

    ['lion', 'tiger', 'wolf', 'gorilla', 'panda']"
Как работает RunnableParallel (или RunnableMap) для выполнения нескольких Runnable параллельно?,"RunnableParallel (или RunnableMap) позволяет легко выполнять несколько Runnable параллельно и возвращать результаты этих Runnable в виде карты.

from langchain.chat_models import ChatOpenAI   
from langchain.prompts import ChatPromptTemplate   
from langchain.schema.runnable import RunnableParallel   

model = ChatOpenAI()  
joke_chain = ChatPromptTemplate.from_template(""tell me a joke about {topic}"") | model   
poem_chain = (  
    ChatPromptTemplate.from_template(""write a 2-line poem about {topic}"") | model  
)  

map_chain = RunnableParallel(joke=joke_chain, poem=poem_chain)  

map_chain.invoke({""topic"": ""bear""})  

    {'joke': AIMessage(content=""Why don't bears wear shoes? 

Because they have bear feet!"", additional_kwargs={}, example=False),  
     'poem': AIMessage(content=""In woodland depths, bear prowls with might,
Silent strength, nature's sovereign, day and night."", additional_kwargs={}, example=False)}"
Как карты могут быть полезны для манипулирования выводом одного Runnable для соответствия формату ввода следующего Runnable в последовательности?,"Карты могут быть полезны для манипулирования выводом одного Runnable, чтобы соответствовать формату ввода следующего Runnable в последовательности.

from langchain.embeddings import OpenAIEmbeddings   
from langchain.schema.output_parser import StrOutputParser   
from langchain.schema.runnable import RunnablePassthrough   
from langchain.vectorstores import FAISS   

vectorstore = FAISS.from_texts(  
    [""harrison worked at kensho""], embedding=OpenAIEmbeddings()  
)  
retriever = vectorstore.as_retriever()  
template = ""Answer the question based only on the following context:  
{context}  

Question: {question}  
""  
prompt = ChatPromptTemplate.from_template(template)  

retrieval_chain = (  
    {""context"": retriever, ""question"": RunnablePassthrough()}  
    | prompt  
    | model  
    | StrOutputParser()  
)  

retrieval_chain.invoke(""where did harrison work?"")  

    'Harrison worked at Kensho.'"
Как RunnableMaps могут быть полезны для параллельного выполнения независимых процессов?,"RunnableMaps полезны для параллельного выполнения независимых процессов, поскольку каждый Runnable в карте выполняется параллельно. Например, joke_chain, poem_chain и map_chain имеют примерно одинаковое время выполнения, даже если map_chain выполняет оба других.

joke_chain.invoke({""topic"": ""bear""})  

    958 ms ± 402 ms per loop (mean ± std. dev. of 7 runs, 1 loop each)  

poem_chain.invoke({""topic"": ""bear""})  

    1.22 s ± 508 ms per loop (mean ± std. dev. of 7 runs, 1 loop each)  

map_chain.invoke({""topic"": ""bear""})  

    1.15 s ± 119 ms per loop (mean ± std. dev. of 7 runs, 1 loop each)"
Как инициализируется и работает `RunnableBranch`?,"`RunnableBranch` инициализируется списком пар (условие, runnable) и резервным runnable. Он выбирает ветку, передавая каждому условию ввод, с которым он вызывается. Он выбирает первое условие, которое оценивается как True, и запускает соответствующий runnable для этого условия с вводом. Если ни одно из предоставленных условий не подходит, он запускает резервный runnable.

from langchain.chat_models import ChatAnthropic   
from langchain.prompts import PromptTemplate   
from langchain.schema.output_parser import StrOutputParser   

chain = (  
    PromptTemplate.from_template(  
        """"""Given the user question below, classify it as either being about `LangChain`, `Anthropic`, or `Other`.  

Do not respond with more than one word.  

<question>  
{question}  
</question>  

Classification:""""""  
    )  
    | ChatAnthropic()  
    | StrOutputParser()  
)  

chain.invoke({""question"": ""how do I call Anthropic?""})  

    ' Anthropic'"
Как создать подцепочки и динамически направлять логику на основе входных данных?,"Можно создать три подцепочки и динамически направлять логику на основе входных данных.

langchain_chain = (  
    PromptTemplate.from_template(  
        """"""You are an expert in langchain. \  
Always answer questions starting with ""As Harrison Chase told me"". \  
Respond to the following question:  

Question: {question}  
Answer:""""""  
    )  
    | ChatAnthropic()  
)  
anthropic_chain = (  
    PromptTemplate.from_template(  
        """"""You are an expert in anthropic. \  
Always answer questions starting with ""As Dario Amodei told me"". \  
Respond to the following question:  

Question: {question}  
Answer:""""""  
    )  
    | ChatAnthropic()  
)  
general_chain = (  
    PromptTemplate.from_template(  
        """"""Respond to the following question:  

Question: {question}  
Answer:""""""  
    )  
    | ChatAnthropic()  
)  

from langchain.schema.runnable import RunnableBranch   

branch = RunnableBranch(  
    (lambda x: ""anthropic"" in x[""topic""].lower(), anthropic_chain),  
    (lambda x: ""langchain"" in x[""topic""].lower(), langchain_chain),  
    general_chain,  
)  

full_chain = {""topic"": chain, ""question"": lambda x: x[""question""]} | branch   

full_chain.invoke({""question"": ""how do I use Anthropic?""})  

    AIMessage(content="" As Dario Amodei told me, here are some ways to use Anthropic: ..."")"
Как использовать пользовательскую функцию для динамического маршрутизирования логики?,"Можно использовать пользовательскую функцию для динамического маршрутизирования логики между различными выходами.

def route(info):  
    if ""anthropic"" in info[""topic""].lower():  
        return anthropic_chain  
    elif ""langchain"" in info[""topic""].lower():  
        return langchain_chain  
    else:  
        return general_chain   

from langchain.schema.runnable import RunnableLambda   

full_chain = {""topic"": chain, ""question"": lambda x: x[""question""]} | RunnableLambda(  
    route  
)  

full_chain.invoke({""question"": ""how do I use Anthroipc?""})  

    AIMessage(content=' As Dario Amodei told me, to use Anthropic IPC you first need to import it: ...')"
Какова самая простая композиция с использованием PromptTemplate и LLM?,"Самая простая композиция включает сочетание шаблона запроса и модели для создания цепочки, которая принимает пользовательский ввод, добавляет его к запросу, передает его модели и возвращает сырой вывод модели.

from langchain.chat_models import ChatOpenAI   
from langchain.prompts import ChatPromptTemplate   

prompt = ChatPromptTemplate.from_template(""tell me a joke about {foo}"")  
model = ChatOpenAI()  
chain = prompt | model   

chain.invoke({""foo"": ""bears""})  

    AIMessage(content=""Why don't bears wear shoes?

Because they have bear feet!"", additional_kwargs={}, example=False)"
Как прикрепить последовательности остановки к цепочке?,"Можно прикрепить последовательности остановки к цепочке.

chain = prompt | model.bind(stop=[""
""])  

chain.invoke({""foo"": ""bears""})  

    AIMessage(content='Why did the bear never wear shoes?', additional_kwargs={}, example=False)"
